epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,train_grad_norm_mean,train_grad_norm_max,train_grad_norm_last,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,50,mamba2,42,1e-05,32768.0,69.47878821199993,219.0020924598105,1,0.19405462095378354,10,0,0.2927027827116637,0.19253240969486823,0.14556865429756802,0.19253240969486823,0.13568178300094041,0.4671755059586506,0.2927027827116637,0.32736827574634286,0.2927027827116637,0.2927027827116637,0.2927027827116637,0.17844621659256732,0.1895975036232758,0.4696566015393724,0.5660894020130255,0.1415924921481831,0.12890625,0.1415924921481831,0.1072493497262416,2.6254200838840447,0.15111029056348063,0.8685304534791523,,,2.515850932941132,,,9.766326904296875,0.5217136150234741,0.22428687224451982,0.194762658983036,0.22428687224451982,0.19405462095378354,0.5117674886706668,0.5217136150234741,0.4957206781444868,0.5217136150234741,0.5217136150234741,0.5217136150234741,0.370716827103456,0.3793008818749954,0.6889671361502347,0.7552816901408451,0.23932626213825925,0.21649169921875,0.23932626213825925,0.19675618382127072,2.3788833490047585,0.2823873528852148,0.7362730678438746,,,2.168074805971602,97.58544921875,2078.0,1692.71435546875,2078.0
2,50,mamba2,42,0.000208,32768.0,51.3635628159991,296.24113215254624,2,0.22893174145285225,10,0,0.35975429248075785,0.2732846869550646,0.20244832760497444,0.2732846869550646,0.2010458510512027,0.5593556264629165,0.35975429248075785,0.40453388871935214,0.35975429248075785,0.35975429248075785,0.35975429248075785,0.25830072703428575,0.2717619764244202,0.5656453522794553,0.6711071640023683,0.31184516396305134,0.271728515625,0.31184516396305134,0.20318381912684286,2.129075355454104,0.05691725266198565,0.7813263186510493,,,2.2005819900985863,6.492523825760429,20.17634391784668,6.998210906982422,0.4119718309859155,0.3111301982366903,0.2522461347089894,0.3111301982366903,0.22893174145285225,0.6204576628971585,0.4119718309859155,0.3992041708794588,0.4119718309859155,0.4119718309859155,0.4119718309859155,0.3136558688097567,0.35122440748573264,0.6426056338028169,0.7834507042253521,0.4455763051207636,0.41748046875,0.4455763051207636,0.28533706068992615,1.7468856128620598,0.0430961573067965,0.7243078215917874,,,1.8801862298043122,97.58544921875,2078.0,1692.71435546875,2078.0
3,50,mamba2,42,0.00040599999999999995,32768.0,57.176438112999676,266.1236079436799,3,0.28096046059391355,10,0,0.4166666666666667,0.3348254229018962,0.24157028487866947,0.3348254229018962,0.2466282118164025,0.6151367878519156,0.4166666666666667,0.46229076509560413,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3194822751826679,0.334338911440605,0.6201154529307282,0.7203226761397277,0.38074523221112483,0.343994140625,0.38074523221112483,0.25425399576086066,1.8836006271628198,0.05177273250600162,0.736729835153127,,,1.9780951791292398,5.93569112782219,16.70793914794922,7.066712856292725,0.4724178403755869,0.35568606783736634,0.2822667248218119,0.35568606783736634,0.28096046059391355,0.6382185210835654,0.4724178403755869,0.46707105604344645,0.4724178403755869,0.4724178403755869,0.4724178403755869,0.35594950503125034,0.3766391696371478,0.6173708920187794,0.7077464788732394,0.3918610693703235,0.36474609375,0.3918610693703235,0.2750932383985027,1.9168437544161836,0.08327770680888717,0.6954771377174271,,,1.7955277562141418,97.58544921875,2078.0,1692.71435546875,2078.0
4,50,mamba2,42,0.0006039999999999999,32768.0,69.24975154499953,219.72642010292867,3,0.28096046059391355,10,1,0.4256956779159266,0.3632108893735163,0.2626111577566532,0.3632108893735163,0.2688420504996123,0.6429680509222382,0.4256956779159266,0.4778590287539529,0.4256956779159266,0.4256956779159266,0.4256956779159266,0.3346067466469461,0.35069899359868095,0.6256660746003553,0.7226169330965068,0.4090863234055261,0.365966796875,0.4090863234055261,0.2728900182275394,1.815546348249396,0.04055749544241922,0.7247860379477294,,,1.8934615385327698,5.561011673147233,16.187158584594727,13.316269874572754,0.3785211267605634,0.3240246721305019,0.32365963813273235,0.3240246721305019,0.2760937606623657,0.7044283543787159,0.3785211267605634,0.44916122370830075,0.3785211267605634,0.3785211267605634,0.3785211267605634,0.29897137902340454,0.3297093391011204,0.6965962441314554,0.784037558685446,0.4648088625339275,0.43310546875,0.4648088625339275,0.28265145739339326,1.5980714093132886,0.1017273379043794,0.7601538584390756,,,1.840694766649058,97.58544921875,2078.0,1692.71435546875,2078.0
5,50,mamba2,42,0.0008019999999999999,16384.0,63.280887326000084,240.45174843413162,3,0.28096046059391355,10,2,0.4584073416222617,0.38295023452586663,0.2947900629444748,0.38295023452586663,0.29321617638809294,0.6616420007354968,0.4584073416222617,0.5094892643650575,0.4584073416222617,0.4584073416222617,0.4584073416222617,0.36665249610292416,0.3820017585809645,0.6548993487270575,0.7433392539964476,0.4388709737394885,0.396240234375,0.4388709737394885,0.2999996755464039,1.7288901655840119,0.04559988831542101,0.6975305556562998,,,1.8256399514337769,,,10.99268913269043,0.26173708920187794,0.3243506099275669,0.2714339809341862,0.3243506099275669,0.200965470297233,0.7190382343827069,0.26173708920187794,0.2740947772540823,0.26173708920187794,0.26173708920187794,0.26173708920187794,0.20056119497833436,0.23332168258508612,0.49178403755868544,0.6525821596244131,0.4977409828436766,0.441650390625,0.4977409828436766,0.22331033654056245,1.554372169583646,0.2360038936417987,0.9154831848515788,,,2.109571327625866,97.58544921875,2078.0,1692.71435546875,2078.0
6,50,mamba2,42,0.001,16384.0,52.871970760001204,287.78953727806254,6,0.28886403660957705,10,0,0.44678804026050917,0.38493352293625294,0.2811798171067501,0.38493352293625294,0.2868404821548531,0.6615285640572564,0.44678804026050917,0.5011423061876505,0.44678804026050917,0.44678804026050917,0.44678804026050917,0.35607548671026124,0.3720601163141394,0.6429100059206632,0.7391947898164595,0.4293379978430631,0.3858642578125,0.4293379978430631,0.29270750355215874,1.740786421613265,0.04284820195272027,0.7052373445974311,,,1.8365029153773036,5.5876608402171035,21.27907371520996,10.504636764526367,0.5076291079812206,0.41459899563448227,0.28783969780251584,0.41459899563448227,0.28886403660957705,0.6939060461499487,0.5076291079812206,0.5509149682063261,0.5076291079812206,0.5076291079812206,0.5076291079812206,0.41187451894775085,0.4276215324194425,0.6936619718309859,0.7852112676056338,0.5251136027591329,0.4759521484375,0.5251136027591329,0.37775120509902077,1.4739513062513636,0.032828102649097725,0.6332951541299475,,,1.7638776212790763,97.58544921875,2078.0,1692.71435546875,2078.0
7,50,mamba2,42,0.0009987820251299122,16384.0,48.34371480200025,314.74618908206924,7,0.3349954931113751,10,0,0.47579928952042627,0.3993311310447496,0.2894273520753291,0.3993311310447496,0.3008753084068883,0.6800898721274654,0.47579928952042627,0.5308677346914481,0.47579928952042627,0.47579928952042627,0.47579928952042627,0.38540088027245434,0.4005204603336892,0.66651865008881,0.7619893428063943,0.45064363993435236,0.408203125,0.45064363993435236,0.3162447697907033,1.674264872100718,0.038730614562229405,0.6778769597612556,,,1.7650281047595189,5.250206093697965,20.504619598388672,5.951390743255615,0.5504694835680751,0.37452271496845324,0.33863435597393454,0.37452271496845324,0.3349954931113751,0.7179275885284186,0.5504694835680751,0.6078715554014334,0.5504694835680751,0.5504694835680751,0.5504694835680751,0.45740402254581103,0.4686286874303522,0.7012910798122066,0.7775821596244131,0.4777373551203052,0.43701171875,0.4777373551203052,0.36476688149949194,1.6066739266480505,0.07654396021310153,0.6035863605572186,,,1.6312512332844622,97.58544921875,2078.0,1692.71435546875,2078.0
8,50,mamba2,42,0.0009951340343707852,16384.0,50.19994016199962,303.1079310233564,7,0.3349954931113751,10,1,0.4903789224393132,0.4188447106528808,0.29776001606982205,0.4188447106528808,0.31122169082405404,0.6872436753930501,0.4903789224393132,0.5433486455803024,0.4903789224393132,0.4903789224393132,0.4903789224393132,0.4005438962687634,0.4153343392288813,0.6732534043812907,0.767687981053878,0.4740629450254288,0.427490234375,0.4740629450254288,0.33716516750338094,1.60843006898403,0.03287001090899523,0.6607155968261194,,,1.6780842654870205,5.069708659011985,22.442790985107422,18.402156829833984,0.5463615023474179,0.3973365024109232,0.3114110628309491,0.3973365024109232,0.3077700723928507,0.7136099825129166,0.5463615023474179,0.5948637272192021,0.5463615023474179,0.5463615023474179,0.5463615023474179,0.45394283279032677,0.4673406771592165,0.7423708920187794,0.8274647887323944,0.5344583574035358,0.515380859375,0.5344583574035358,0.3896361207458335,1.4349226075206616,0.05400307525491491,0.6123154309834693,,,1.6421350839552185,97.58544921875,2078.0,1692.71435546875,2078.0
9,50,mamba2,42,0.000989073800366903,16384.0,54.60602918400036,278.6505488016387,7,0.3349954931113751,10,2,0.5130254588513914,0.45306950106879357,0.325475033409387,0.45306950106879357,0.34254910130020094,0.7048485227978744,0.5130254588513914,0.5672410051217324,0.5130254588513914,0.5130254588513914,0.5130254588513914,0.4241397146791678,0.43864242104170686,0.6943457667258733,0.7846358792184724,0.4895490575217862,0.4468994140625,0.4895490575217862,0.35427902603622297,1.5610558351708526,0.03898677521022981,0.640844246113867,,,1.6224800088548181,,,9.26156997680664,0.5545774647887324,0.4409102791010873,0.3304507501704805,0.4409102791010873,0.3337568553824008,0.7290962590849798,0.5545774647887324,0.6058112048691628,0.5545774647887324,0.5545774647887324,0.5545774647887324,0.4654403784013007,0.4788578318356829,0.7235915492957746,0.8098591549295775,0.5757076639524648,0.549560546875,0.5757076639524648,0.41454992411841807,1.3223298611891234,0.06199667487345951,0.61017859580807,,,1.6389529218136425,97.58544921875,2078.0,1692.71435546875,2078.0
10,50,mamba2,42,0.0009806308479691596,8192.0,55.0013528290001,276.64774078024476,10,0.38104699635078915,10,0,0.5305654233274126,0.4765942415002956,0.3313839477542986,0.4765942415002956,0.3556486518490657,0.7081309405949172,0.5305654233274126,0.5814085717144692,0.5305654233274126,0.5305654233274126,0.5305654233274126,0.4417937163654979,0.45525398576011344,0.7070011841326228,0.7958111308466548,0.5128953571217946,0.4716796875,0.5128953571217946,0.37259088359583475,1.4919676063632454,0.042902773128168474,0.6273917736738203,,,1.57641130784618,,,3.3452346324920654,0.5868544600938967,0.4465374667134508,0.40393072684778386,0.4465374667134508,0.38104699635078915,0.7442970216606011,0.5868544600938967,0.6374492606117869,0.5868544600938967,0.5868544600938967,0.5868544600938967,0.49779650480071846,0.5089024304360305,0.7464788732394366,0.818075117370892,0.553813594048012,0.53759765625,0.553813594048012,0.42252250344540593,1.367302799361291,0.04829378083278317,0.5692320690845775,,,1.5900410352178582,97.58544921875,2078.0,1692.71435546875,2078.0
