frame_index,seconds,value,normalized_value
0,0.0,0.0003159114858135581,0.0003182113750714604
1,0.023219954648526078,0.0003761375555768609,0.000378875900848914
2,0.046439909297052155,0.0004509302962105721,0.00045421314533410616
3,0.06965986394557823,0.00027509196661412716,0.0002770946828411795
4,0.09287981859410431,0.00016839797899592668,0.00016962394487667897
5,0.11609977324263039,0.00029360747430473566,0.00029574498657167426
6,0.13931972789115646,0.0003339573449920863,0.0003363886111689614
7,0.16253968253968254,0.0002785496471915394,0.00028057753592030304
8,0.18575963718820862,0.0001559094962431118,0.00015704454384890255
9,0.2089795918367347,0.00014224779442884028,0.00014328338252569172
10,0.23219954648526078,0.00010498161282157525,0.00010574589678859786
11,0.25541950113378686,0.00023297550796996802,0.00023467160922679498
12,0.2786394557823129,0.00012186836102046072,0.0001227555833817095
13,0.301859410430839,0.00011093810462625697,0.00011174575286501884
14,0.3250793650793651,0.0003397370164748281,0.000342210359641475
15,0.34829931972789113,0.0002959129633381963,0.0002980672599567662
16,0.37151927437641724,0.00034360497375018895,0.00034610647630257236
17,0.3947392290249433,0.0001140890599344857,0.00011491964766291779
18,0.4179591836734694,0.00021369557362049818,0.0002152513136815642
19,0.44117913832199546,0.0002530174679122865,0.0002548594780405809
20,0.46439909297052157,0.00012756403884850442,0.0001284927267114568
21,0.4876190476190476,0.00012178025644971058,0.0001226668373947243
22,0.5108390022675737,8.074688958004117e-05,8.133474064685472e-05
23,0.5340589569160997,0.00013311411021277308,0.00013408320353764907
24,0.5572789115646258,8.11396021163091e-05,8.173031219706855e-05
25,0.5804988662131519,9.397879330208525e-05,9.466297487474779e-05
26,0.603718820861678,0.00024558225413784385,0.00024737013464737486
27,0.626938775510204,0.00023413216695189476,0.0002358366888825087
28,0.6501587301587302,0.0001107028074329719,0.00011150874266821362
29,0.6733786848072563,0.00013362933532334864,0.00013460217957451387
30,0.6965986394557823,0.0001321396994171664,0.00013310169886599724
31,0.7198185941043084,0.00015066983178257942,0.00015176673374141228
32,0.7430385487528345,0.00020260855671949685,0.00020408358141496885
33,0.7662585034013606,0.00016162135580088943,0.0001627979867141239
34,0.7894784580498866,0.00016867542581167072,0.00016990341155235158
35,0.8126984126984127,0.00019569370488170534,0.0001971183882816693
36,0.8359183673469388,0.0003301461401861161,0.00033254966014486826
37,0.8591383219954648,0.0005789226270280778,0.0005831372820528217
38,0.8823582766439909,0.0002837260835804045,0.0002857916576450283
39,0.905578231292517,0.00017168444173876196,0.00017293433362631732
40,0.9287981859410431,0.00019120653450954705,0.00019259855054728857
41,0.9520181405895691,9.021365258377045e-05,9.087042329268982e-05
42,0.9752380952380952,0.00011956546222791076,0.00012043591909492185
43,0.9984580498866213,0.00032807860407046974,0.00033046707201523626
44,1.0216780045351475,0.0004676894168369472,0.0004710942752043086
45,1.0448979591836736,0.00016866529767867178,0.00016989320968482466
46,1.0681179138321995,0.0001351489481749013,0.00013613285546565328
47,1.0913378684807256,0.0002718274190556258,0.0002738063688221382
48,1.1145578231292517,0.00029896010528318584,0.0003011365856125143
49,1.1377777777777778,0.00018538578297011554,0.00018673542294829726
50,1.1609977324263039,0.00016392648103646934,0.00016511989365282478
