bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,3,0.0,0.1833903044462204
0.2,0.30000000000000004,59,0.22033898305084745,0.261795312166214
0.30000000000000004,0.4,165,0.2727272727272727,0.35573655366897583
0.4,0.5,253,0.38735177865612647,0.4559321403503418
0.5,0.6000000000000001,237,0.43037974683544306,0.5507606267929077
0.6000000000000001,0.7000000000000001,211,0.5260663507109005,0.6497588753700256
0.7000000000000001,0.8,221,0.583710407239819,0.7518360018730164
0.8,0.9,258,0.7093023255813954,0.8523252010345459
0.9,1.0,365,0.863013698630137,0.9587609767913818
