bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,4,0.0,0.19219970703125
0.2,0.30000000000000004,76,0.2631578947368421,0.25817549228668213
0.30000000000000004,0.4,176,0.23863636363636365,0.35110750794410706
0.4,0.5,205,0.32682926829268294,0.4504263401031494
0.5,0.6000000000000001,205,0.4195121951219512,0.5441382527351379
0.6000000000000001,0.7000000000000001,190,0.48947368421052634,0.6516781449317932
0.7000000000000001,0.8,190,0.5894736842105263,0.7520430684089661
0.8,0.9,229,0.6637554585152838,0.8528098464012146
0.9,1.0,497,0.8792756539235412,0.9687116742134094
