bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,1,0.0,0.1866455078125
0.2,0.30000000000000004,53,0.20754716981132076,0.2661501467227936
0.30000000000000004,0.4,145,0.2689655172413793,0.35178643465042114
0.4,0.5,222,0.35135135135135137,0.44974881410598755
0.5,0.6000000000000001,205,0.35121951219512193,0.5502358078956604
0.6000000000000001,0.7000000000000001,175,0.5085714285714286,0.651958703994751
0.7000000000000001,0.8,191,0.49214659685863876,0.7481823563575745
0.8,0.9,230,0.5956521739130435,0.852590024471283
0.9,1.0,550,0.8072727272727273,0.9724973440170288
