bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,63,0.12698412698412698,0.1813267320394516
0.2,0.30000000000000004,331,0.2719033232628399,0.2571844458580017
0.30000000000000004,0.4,388,0.3634020618556701,0.3454854190349579
0.4,0.5,338,0.47928994082840237,0.4487225115299225
0.5,0.6000000000000001,253,0.5770750988142292,0.5434107184410095
0.6000000000000001,0.7000000000000001,166,0.7590361445783133,0.6480286121368408
0.7000000000000001,0.8,123,0.8861788617886179,0.746780514717102
0.8,0.9,89,0.898876404494382,0.8432233333587646
0.9,1.0,21,0.9047619047619048,0.9407784342765808
