bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,11,0.18181818181818182,0.18135209381580353
0.2,0.30000000000000004,119,0.16806722689075632,0.2589460015296936
0.30000000000000004,0.4,275,0.33454545454545453,0.35032138228416443
0.4,0.5,269,0.3420074349442379,0.4488847553730011
0.5,0.6000000000000001,240,0.49166666666666664,0.5463501214981079
0.6000000000000001,0.7000000000000001,225,0.5466666666666666,0.6474652886390686
0.7000000000000001,0.8,197,0.6142131979695431,0.7490259408950806
0.8,0.9,213,0.7230046948356808,0.8496437668800354
0.9,1.0,223,0.8923766816143498,0.956656813621521
