bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,19,0.21052631578947367,0.18456389009952545
0.2,0.30000000000000004,217,0.2488479262672811,0.26177725195884705
0.30000000000000004,0.4,280,0.375,0.35141950845718384
0.4,0.5,261,0.41762452107279696,0.4494750499725342
0.5,0.6000000000000001,224,0.5401785714285714,0.5491180419921875
0.6000000000000001,0.7000000000000001,186,0.6451612903225806,0.6474871635437012
0.7000000000000001,0.8,188,0.776595744680851,0.747509241104126
0.8,0.9,224,0.8526785714285714,0.8547232747077942
0.9,1.0,173,0.9364161849710982,0.9510335922241211
