bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,19,0.15789473684210525,0.1781969517469406
0.2,0.30000000000000004,152,0.2631578947368421,0.25856900215148926
0.30000000000000004,0.4,247,0.31983805668016196,0.3520626425743103
0.4,0.5,273,0.3663003663003663,0.4487563967704773
0.5,0.6000000000000001,259,0.4671814671814672,0.5502344965934753
0.6000000000000001,0.7000000000000001,218,0.555045871559633,0.6490489840507507
0.7000000000000001,0.8,181,0.7182320441988951,0.7468599081039429
0.8,0.9,203,0.8177339901477833,0.8520411849021912
0.9,1.0,220,0.9,0.9543589949607849
