bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,127,0.2125984251968504,0.17079079151153564
0.2,0.30000000000000004,411,0.30656934306569344,0.25420740246772766
0.30000000000000004,0.4,417,0.328537170263789,0.3489401936531067
0.4,0.5,262,0.5267175572519084,0.4486400783061981
0.5,0.6000000000000001,196,0.6581632653061225,0.5472462177276611
0.6000000000000001,0.7000000000000001,153,0.7843137254901961,0.6471896767616272
0.7000000000000001,0.8,110,0.8636363636363636,0.7470525503158569
0.8,0.9,49,0.9183673469387755,0.84228515625
0.9,1.0,47,0.9574468085106383,0.9632853865623474
