bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,3,0.6666666666666666,0.1890869140625
0.2,0.30000000000000004,93,0.21505376344086022,0.26487815380096436
0.30000000000000004,0.4,220,0.31363636363636366,0.3526589274406433
0.4,0.5,285,0.4070175438596491,0.4516875743865967
0.5,0.6000000000000001,241,0.4315352697095436,0.5492089986801147
0.6000000000000001,0.7000000000000001,208,0.5721153846153846,0.6464327573776245
0.7000000000000001,0.8,202,0.6732673267326733,0.7491902112960815
0.8,0.9,223,0.695067264573991,0.8523375988006592
0.9,1.0,297,0.936026936026936,0.9539848566055298
