bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,0,nan,nan
0.2,0.30000000000000004,25,0.24,0.27226561307907104
0.30000000000000004,0.4,128,0.28125,0.3534221649169922
0.4,0.5,227,0.3788546255506608,0.4487960636615753
0.5,0.6000000000000001,220,0.42727272727272725,0.5506480932235718
0.6000000000000001,0.7000000000000001,186,0.5,0.6530079245567322
0.7000000000000001,0.8,235,0.6212765957446809,0.7508394122123718
0.8,0.9,245,0.6163265306122448,0.8497608304023743
0.9,1.0,506,0.8399209486166008,0.9675833582878113
