bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,1,0.0,0.194580078125
0.2,0.30000000000000004,12,0.3333333333333333,0.2694193422794342
0.30000000000000004,0.4,75,0.2,0.3585188686847687
0.4,0.5,146,0.2191780821917808,0.45427045226097107
0.5,0.6000000000000001,156,0.3974358974358974,0.5486246943473816
0.6000000000000001,0.7000000000000001,182,0.45604395604395603,0.6505945324897766
0.7000000000000001,0.8,174,0.4482758620689655,0.7473397254943848
0.8,0.9,226,0.5619469026548672,0.8511390089988708
0.9,1.0,800,0.8075,0.9722320437431335
