bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,7,0.2857142857142857,0.1942836195230484
0.2,0.30000000000000004,108,0.19444444444444445,0.26234039664268494
0.30000000000000004,0.4,252,0.30952380952380953,0.3534022867679596
0.4,0.5,287,0.4146341463414634,0.4444924592971802
0.5,0.6000000000000001,223,0.452914798206278,0.5489529371261597
0.6000000000000001,0.7000000000000001,207,0.4927536231884058,0.6502750515937805
0.7000000000000001,0.8,208,0.6490384615384616,0.7538639903068542
0.8,0.9,180,0.7111111111111111,0.8516411781311035
0.9,1.0,300,0.8733333333333333,0.9614664912223816
