bin_low,bin_high,n,accuracy,confidence
0.0,0.1,0,nan,nan
0.1,0.2,30,0.06666666666666667,0.17961019277572632
0.2,0.30000000000000004,212,0.25471698113207547,0.2538210451602936
0.30000000000000004,0.4,289,0.29411764705882354,0.35126346349716187
0.4,0.5,255,0.4392156862745098,0.4468979835510254
0.5,0.6000000000000001,246,0.532520325203252,0.5477463603019714
0.6000000000000001,0.7000000000000001,207,0.6473429951690821,0.6492324471473694
0.7000000000000001,0.8,207,0.7536231884057971,0.7539840936660767
0.8,0.9,149,0.7315436241610739,0.849261999130249
0.9,1.0,177,0.8870056497175142,0.961111307144165
