epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,40,cnn2d,42,0.0003,32768.0,17.772566221654415,666.0827621830081,1,0.20513459091470027,6,0,0.34961515689757255,0.2512599077194898,0.18129759402434503,0.2512599077194898,0.18094805559419444,0.49460989238885145,0.34961515689757255,0.3685597359915507,0.34961515689757255,0.34961515689757255,0.34961515689757255,0.238012237720873,0.2508617292436004,0.5589105979869745,0.6740674955595026,0.2303733667584832,0.1895751953125,0.2303733667584832,0.15933029325680784,2.360732766235825,0.13024107935114776,0.8167627037865576,,,2.2451261916950136,0.2764084507042254,0.26970595822128324,0.31449809801501516,0.26970595822128324,0.20513459091470027,0.6830278636977195,0.2764084507042254,0.3170668780625787,0.2764084507042254,0.2764084507042254,0.2764084507042254,0.20731926324447092,0.23549524079449355,0.511150234741784,0.6203051643192489,0.3219433994920041,0.29052734375,0.3219433994920041,0.190448167248511,2.0155192601374856,0.04810587565104167,0.8185356171232414,,,2.1161252831069515,78.91796875,1604.0,5474.24169921875,34024.0
2,40,cnn2d,42,0.00029953760005996916,32768.0,13.298449087888002,890.1789916827103,2,0.25506646994858484,6,0,0.40507203473455694,0.3246268376793574,0.23201090673083888,0.3246268376793574,0.23775546982036452,0.5781194651005063,0.40507203473455694,0.4443841909725897,0.40507203473455694,0.40507203473455694,0.40507203473455694,0.30355161525647256,0.3169730725199178,0.6092362344582594,0.7309058614564832,0.3022223518330928,0.26318359375,0.3022223518330928,0.210040213583206,2.1210444506958193,0.10998579725043788,0.7637605682780944,,,2.0082387205691927,0.4295774647887324,0.3343987973681248,0.2793479370247923,0.3343987973681248,0.25506646994858484,0.6682581311023972,0.4295774647887324,0.44657145900519074,0.4295774647887324,0.4295774647887324,0.4295774647887324,0.33186363513511874,0.35364396435609496,0.5921361502347418,0.7089201877934272,0.3875840952698614,0.342041015625,0.3875840952698614,0.27329239536059297,1.877662246170637,0.060926947795169474,0.7059171707943045,,,1.904314724492355,78.91796875,4384.0,1602.95849609375,34144.0
3,40,cnn2d,42,0.00029815325108927063,16384.0,11.67042176797986,1014.3592267144898,2,0.25506646994858484,6,1,0.43536609433589896,0.3647021243196476,0.2620332100961101,0.3647021243196476,0.26951053046787626,0.6103776945196591,0.43536609433589896,0.47927765994364857,0.43536609433589896,0.43536609433589896,0.43536609433589896,0.3360389517263629,0.3496926374857308,0.6295638444839156,0.7387014012236037,0.34139138329586666,0.3017578125,0.34139138329586666,0.23954720691931608,2.006920337907232,0.09984834805404458,0.7342956293790361,,,1.9071019044966064,0.32335680751173707,0.24818195552846295,0.2686809297518967,0.24818195552846295,0.20274873140010075,0.6051872993057423,0.32335680751173707,0.3472379502183157,0.32335680751173707,0.32335680751173707,0.32335680751173707,0.22581041750894304,0.287700754791617,0.6572769953051644,0.8110328638497653,0.4522967271401849,0.4310302734375,0.4522967271401849,0.2641864993342771,1.6061882710803919,0.142211484237456,0.7853248978462302,,,2.092486266239148,78.91796875,4384.0,1602.95849609375,4384.0
4,40,cnn2d,42,0.0002958554880596515,16384.0,11.3667681068182,1041.45698132956,2,0.25506646994858484,6,2,0.47513321492007105,0.39303952013609855,0.2843777707000934,0.39303952013609855,0.29539021129809595,0.6415514333567754,0.47513321492007105,0.5181261899268532,0.47513321492007105,0.47513321492007105,0.47513321492007105,0.3775800920947471,0.39116309461662474,0.6566015393724097,0.7535030590092757,0.3770593914591351,0.3359375,0.3770593914591351,0.27474857826474763,1.9146445076179284,0.09807382346093596,0.6920214224980844,,,1.814250888898807,0.43779342723004694,0.2492055010391483,0.25077556915943905,0.2492055010391483,0.1933695075279942,0.6780468268848813,0.43779342723004694,0.49720884856815883,0.43779342723004694,0.43779342723004694,0.43779342723004694,0.33503007866728374,0.3516316063127858,0.6150234741784038,0.7300469483568075,0.3972323063953382,0.3582763671875,0.3972323063953382,0.2757791364696664,1.8077905251123467,0.0530767664663109,0.7132699132854646,,,2.09767081759905,78.91796875,4384.0,1602.95849609375,4384.0
5,40,cnn2d,42,0.00029265847744427303,16384.0,11.397937286645174,1038.608978299121,2,0.25506646994858484,6,3,0.4917110716400237,0.43316090428801424,0.3007030237241033,0.43316090428801424,0.31698817432252924,0.6546944080441427,0.4917110716400237,0.5357374346163115,0.4917110716400237,0.4917110716400237,0.4917110716400237,0.39597577957047214,0.40902045488036876,0.6705150976909414,0.7636668640221038,0.3949852975981227,0.350830078125,0.3949852975981227,0.28858580326031763,1.8560895533761954,0.09687754885317988,0.6803374445481718,,,1.739759711229239,0.25234741784037557,0.2725556770204963,0.27916987903254115,0.2725556770204963,0.20265267472132134,0.6927829930072923,0.25234741784037557,0.30393950163716416,0.25234741784037557,0.25234741784037557,0.25234741784037557,0.19139793917650494,0.21973032935349754,0.4724178403755869,0.5639671361502347,0.4640666979579299,0.4278564453125,0.4640666979579299,0.21508341114705717,1.6455373030546736,0.21171928011755425,0.8939866947534958,,,2.280042402061498,78.91796875,4384.0,1602.95849609375,4384.0
6,40,cnn2d,42,0.000288581929876693,16384.0,11.365700401365757,1041.5548168573482,2,0.25506646994858484,6,4,0.5101638050128281,0.4421601709661831,0.3094346674416175,0.4421601709661831,0.3258776124731142,0.676120497660843,0.5101638050128281,0.5561336802748986,0.5101638050128281,0.5101638050128281,0.5101638050128281,0.41721470940988215,0.4306323879084015,0.6882770870337478,0.7756068679692125,0.4220237754519131,0.371826171875,0.4220237754519131,0.3143546248249267,1.7828141652747702,0.08850602367725605,0.6535541537634318,,,1.6649837340267777,0.24413145539906103,0.337434862715001,0.2861519063832383,0.337434862715001,0.1998330684150629,0.6741712644716202,0.24413145539906103,0.25806104967048105,0.24413145539906103,0.24413145539906103,0.24413145539906103,0.1809147622182513,0.21631293553746925,0.40669014084507044,0.5252347417840375,0.4831243882156874,0.4200439453125,0.4831243882156874,0.20076972347609873,1.5902518440077127,0.2394169552225462,0.9481503667669084,,,2.31911658009453,78.91796875,4384.0,1602.95849609375,4384.0
7,40,cnn2d,42,0.0002836509786282552,16384.0,11.742197822779417,1008.1587943472329,7,0.3054224159018134,6,0,0.5189461219656601,0.45578576508762125,0.3205294190459458,0.45578576508762125,0.3396491457417332,0.6858502992272907,0.5189461219656601,0.5666300252698132,0.5189461219656601,0.5189461219656601,0.5189461219656601,0.42727427523777106,0.4404949614371882,0.6971580817051509,0.7762976119992105,0.4386018309245948,0.39208984375,0.4386018309245948,0.3276852728442043,1.7329605504317476,0.08069274673476973,0.6431079032469792,,,1.6369348242599535,0.4688967136150235,0.44669524364712737,0.3182539613514299,0.44669524364712737,0.3054224159018134,0.7094938855996764,0.4688967136150235,0.5384867185676777,0.4688967136150235,0.4688967136150235,0.4688967136150235,0.38126684381974996,0.39795002926976636,0.6244131455399061,0.7106807511737089,0.4369977136173159,0.3875732421875,0.4369977136173159,0.30669760424206516,1.72870197951979,0.04917789512956646,0.684857629571271,,,1.7645141876919168,78.91796875,4384.0,1602.95849609375,4384.0
8,40,cnn2d,42,0.00027789602465311383,16384.0,11.834585584700108,1000.2885116065497,8,0.30740161233921615,6,0,0.5404578646141701,0.4762937623855289,0.3248767792617031,0.4762937623855289,0.34791023882072564,0.6939392583181652,0.5404578646141701,0.5852182892881841,0.5404578646141701,0.5404578646141701,0.5404578646141701,0.4492090418762431,0.46123106435261424,0.702585356226564,0.7860667061377541,0.45505149815711654,0.408935546875,0.45505149815711654,0.3456801653249461,1.6858105694772252,0.08573362185965867,0.622208517763077,,,1.5696033048563887,0.5316901408450704,0.4402401089730562,0.30618189297455023,0.4402401089730562,0.30740161233921615,0.6961919112084737,0.5316901408450704,0.5506591567342767,0.5316901408450704,0.5316901408450704,0.5316901408450704,0.43652264717399825,0.4553478432935685,0.6913145539906104,0.7764084507042254,0.5457004314297241,0.508056640625,0.5457004314297241,0.4001150633527639,1.427823501705489,0.03843925368617958,0.6144049497314913,,,1.7981827779554984,78.91796875,4384.0,1602.95849609375,4384.0
9,40,cnn2d,42,0.0002713525491562421,16384.0,11.839955810457468,999.8348126894409,8,0.30740161233921615,6,1,0.5435168738898757,0.47935020081817514,0.3315314284922486,0.47935020081817514,0.35321732256666194,0.6981744375748635,0.5435168738898757,0.5888611988791536,0.5435168738898757,0.5435168738898757,0.5435168738898757,0.4525613262743621,0.4645613414235269,0.7089007302151175,0.7900138148806,0.47491900163781886,0.4281005859375,0.47491900163781886,0.3617797862831742,1.6208111989361007,0.07106730865966364,0.6101406145908118,,,1.5055571237870498,0.5528169014084507,0.3547810280576542,0.3259200061310581,0.3547810280576542,0.30461908819027983,0.7200778241335696,0.5528169014084507,0.61533523889662,0.5528169014084507,0.5528169014084507,0.5528169014084507,0.45577382756162244,0.46600359567119226,0.6965962441314554,0.7946009389671361,0.48558323819872357,0.432861328125,0.48558323819872357,0.37491243196205354,1.5403823438783069,0.07990404585717427,0.5957960702810416,,,1.7542240781963152,78.91796875,4384.0,1602.95849609375,4384.0
10,40,cnn2d,42,0.00026406089484000466,16384.0,12.042886715382338,982.9869100138062,8,0.30740161233921615,6,2,0.5517071245312808,0.5169183096935408,0.3448670003333094,0.5169183096935408,0.36975842494859246,0.712527508284437,0.5517071245312808,0.5994750229623592,0.5517071245312808,0.5517071245312808,0.5517071245312808,0.46346127826212724,0.4758065340442102,0.7136372607065324,0.7965265443062957,0.4845410850077709,0.441162109375,0.4845410850077709,0.36830368419829407,1.5870392139945149,0.07064992190583681,0.6067923046228383,,,1.4670716683163971,0.3485915492957746,0.37242651067323757,0.34905820617085126,0.37242651067323757,0.28734221357690026,0.7373508931928416,0.3485915492957746,0.42878957732116546,0.3485915492957746,0.3485915492957746,0.3485915492957746,0.2765446538912728,0.30482267814011044,0.5475352112676056,0.676056338028169,0.5438573058222381,0.513916015625,0.5438573058222381,0.27817617433731545,1.383245032278136,0.20156512909651922,0.8522385964418114,,,2.0911513152816488,78.91796875,4384.0,1602.95849609375,4384.0
