epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,train_grad_norm_mean,train_grad_norm_max,train_grad_norm_last,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,50,transformer,42,5e-06,16384.0,7.535886223000006,1122.628414184325,1,0.057490141078168126,10,0,0.09976317347542925,0.0983004508494574,0.08244000417811671,0.0983004508494574,0.05689705586248338,0.25599677271814697,0.09976317347542925,0.10273807829154954,0.09976317347542925,0.09976317347542925,0.09976317347542925,0.030910562885886117,0.03665190033742596,0.2143280047365305,0.34369449378330375,0.12095231936484699,0.11456298828125,0.12095231936484699,0.08203197386647343,2.6573698765073943,0.03888225837739139,0.9122574027244665,,,2.6667681408041393,,,18.467247009277344,0.07511737089201878,0.13056618014644802,0.10153797816997155,0.13056618014644802,0.057490141078168126,0.3532709250183629,0.07511737089201878,0.050615460202791875,0.07511737089201878,0.07511737089201878,0.07511737089201878,0.041807529016008704,0.0689459598528091,0.2634976525821596,0.46830985915492956,0.1281681329431668,0.120849609375,0.1281681329431668,0.08836700546909386,2.6529686125071,0.07781326938682878,0.900693251629286,,,2.585689490949604,81.03466796875,2544.0,2030.05615234375,2544.0
2,50,transformer,42,0.000104,16384.0,7.494652946000002,1128.804770675234,2,0.1898849657017373,10,0,0.25384843102427473,0.1796830265187021,0.17164100479022534,0.1796830265187021,0.1399551413910877,0.49327455452887836,0.25384843102427473,0.29293809619728167,0.25384843102427473,0.25384843102427473,0.25384843102427473,0.16627920281427866,0.18112864550922034,0.43650088809946713,0.5583185316755477,0.23794863730792537,0.193359375,0.23794863730792537,0.15259056602306378,2.3157628642084367,0.02689669187284915,0.8383431623876952,,,2.3691823945516943,8.179164872979218,23.16388511657715,11.001485824584961,0.5886150234741784,0.22565028917026733,0.19247552170334695,0.22565028917026733,0.1898849657017373,0.5381399305146722,0.5886150234741784,0.5419430260096062,0.5886150234741784,0.5886150234741784,0.5886150234741784,0.4399632800929061,0.45582841547850333,0.7194835680751174,0.7928403755868545,0.30677498114500806,0.28662109375,0.30677498114500806,0.24193140822397152,2.157182753631306,0.29096214760077393,0.6920586752304365,,,2.166523154352752,81.03466796875,2544.0,2030.05615234375,2544.0
3,50,transformer,42,0.00020299999999999997,16384.0,7.470339803000002,1132.4786051368858,2,0.1898849657017373,10,1,0.3123149792776791,0.2248112923739892,0.18536296411313943,0.2248112923739892,0.17274608214983786,0.5035223534680919,0.3123149792776791,0.3530285962957945,0.3123149792776791,0.3123149792776791,0.3123149792776791,0.21551368829489104,0.22862919219692815,0.5219064535227945,0.6272942569567792,0.2910170614401782,0.245849609375,0.2910170614401782,0.1843118731124363,2.1601053487300237,0.04158074224820992,0.8093202059547508,,,2.288341301760778,7.241373089124572,18.242053985595703,3.2805447578430176,0.3720657276995305,0.24944876730451926,0.25124154307865915,0.24944876730451926,0.17308499521777415,0.6075097073710702,0.3720657276995305,0.35996075727332183,0.3720657276995305,0.3720657276995305,0.37206572769953056,0.2520594945962109,0.2806866263243742,0.4688967136150235,0.57981220657277,0.2685200149464495,0.22857666015625,0.2685200149464495,0.18386290610676082,2.2142156138470805,0.14622060569799,0.7925889878313089,,,2.2600383668998036,81.03466796875,2544.0,2030.05615234375,2544.0
4,50,transformer,42,0.00030199999999999997,16384.0,7.550551419000016,1120.4479687021892,4,0.2364061742390672,10,0,0.31527531083481347,0.2516364565377388,0.1992543997687884,0.2516364565377388,0.18428165265115423,0.5227407938715039,0.31527531083481347,0.35523576090469183,0.31527531083481347,0.31527531083481347,0.31527531083481347,0.22409096271615436,0.23893657015828523,0.5418886915334518,0.6531971580817052,0.3236113887626508,0.27490234375,0.3236113887626508,0.19786027970223682,2.071441738818323,0.05325133988248871,0.8043489855796916,,,2.1777696247422673,6.88298901971781,19.32084083557129,9.23261833190918,0.4413145539906103,0.2912675482431154,0.2444213671681275,0.2912675482431154,0.2364061742390672,0.5961975472654517,0.4413145539906103,0.4766633102979816,0.4413145539906103,0.4413145539906103,0.4413145539906103,0.3286977205547341,0.343725552867058,0.6654929577464789,0.7224178403755869,0.2695967983192121,0.23785400390625,0.2695967983192121,0.20583306092051834,2.157550572828314,0.172993476402032,0.7533018016328754,,,2.0941563850277465,81.03466796875,2544.0,2030.05615234375,2544.0
5,50,transformer,42,0.00040099999999999994,16384.0,7.474796024999989,1131.8034594796868,4,0.2364061742390672,10,1,0.3580521018354056,0.2639824123405483,0.20730477516155615,0.2639824123405483,0.2024305152605536,0.5396288869863495,0.3580521018354056,0.3996042093940923,0.3580521018354056,0.3580521018354056,0.3580521018354056,0.2594765112011842,0.2726928729183702,0.5735642391947898,0.6727353463587922,0.3417815349030029,0.294921875,0.3417815349030029,0.21414871329453797,2.0107681144321354,0.06925934542559392,0.7862782284179548,,,2.1734112181417897,6.826988829756683,21.31431007385254,11.086472511291504,0.17077464788732394,0.22062182353260804,0.25872250778791006,0.22062182353260804,0.16343892367024193,0.6138355050207928,0.17077464788732394,0.1401815005214627,0.17077464788732394,0.17077464788732394,0.17077464788732394,0.11087050607314375,0.15589422198261146,0.4518779342723005,0.698943661971831,0.4254309425891285,0.3944091796875,0.4254309425891285,0.17780009065995195,1.8355083642026289,0.27589667235181925,0.9148987366477601,,,2.1827486563176617,81.03466796875,2544.0,2030.05615234375,2544.0
6,50,transformer,42,0.0005,16384.0,7.464163403000015,1133.4157015640542,4,0.2364061742390672,10,2,0.3151272942569568,0.3002963076911985,0.22401989584850043,0.3002963076911985,0.2113964448623905,0.5474280590284166,0.3151272942569568,0.35168022264128945,0.3151272942569568,0.3151272942569568,0.3151272942569568,0.23275682369399175,0.2496673964088981,0.5374481941977501,0.6566015393724097,0.3552141025830049,0.3026123046875,0.3552141025830049,0.21365962605846217,1.9603442311400183,0.04691219386297828,0.7998177276756118,,,2.0505520087716986,6.716975140121748,15.945816040039062,15.043854713439941,0.4096244131455399,0.26053135983148057,0.25679769305033906,0.26053135983148057,0.23046974088735514,0.6516411326535786,0.4096244131455399,0.46409442863964867,0.4096244131455399,0.4096244131455399,0.4096244131455399,0.304193654052461,0.34153470492189514,0.6784037558685446,0.7822769953051644,0.3392498750641872,0.3016357421875,0.3392498750641872,0.23317797363084247,1.9736118684584956,0.09298491142165491,0.7456471628823432,,,2.024641170747963,81.03466796875,2544.0,2030.05615234375,2544.0
7,50,transformer,42,0.0004993910125649561,16384.0,7.461101965000012,1133.8807644883843,7,0.26361520442946906,10,0,0.3401420959147424,0.29593737742734805,0.2248247011284713,0.29593737742734805,0.21702980254485965,0.5529808829735279,0.3401420959147424,0.37970976754477265,0.3401420959147424,0.3401420959147424,0.3401420959147424,0.25237669051943845,0.2684055007885403,0.5522498519834221,0.6736234458259325,0.35808051444144556,0.308349609375,0.35808051444144556,0.22222558953763466,1.9376906464147685,0.04249650448154882,0.785741817727378,,,1.9908349022066332,7.006156169018656,23.859880447387695,8.469795227050781,0.511150234741784,0.29441000926016125,0.2879301078441019,0.29441000926016125,0.26361520442946906,0.6321715739872011,0.511150234741784,0.548227708329905,0.511150234741784,0.511150234741784,0.511150234741784,0.39944405190541266,0.4116886298193317,0.6983568075117371,0.7816901408450704,0.34530976344721975,0.321533203125,0.34530976344721975,0.26485672733033766,1.8924146753282047,0.16832600624908298,0.6918360834982132,,,2.0332697294127775,81.03466796875,2544.0,2030.05615234375,2544.0
8,50,transformer,42,0.0004975670171853926,16384.0,7.461746575999996,1133.7828099403418,7,0.26361520442946906,10,1,0.3725577264653641,0.30319491463356596,0.23181588644925558,0.30319491463356596,0.22859842527339425,0.5704796834962134,0.3725577264653641,0.41381461847748713,0.3725577264653641,0.3725577264653641,0.3725577264653641,0.2801021316567188,0.29478904538299705,0.5901420959147424,0.705595026642984,0.3805483450474578,0.329833984375,0.3805483450474578,0.24410196731187947,1.8744668995253062,0.04304369784728388,0.7601523535692869,,,1.9711778566214797,7.374918944430801,56.52412033081055,25.21824836730957,0.3673708920187793,0.3139220781785249,0.2677548116104419,0.3139220781785249,0.24020921516397076,0.6763967780351872,0.3673708920187793,0.42405426616666764,0.3673708920187793,0.3673708920187793,0.3673708920187793,0.2846704185949427,0.32335803089856924,0.579225352112676,0.6895539906103286,0.36631223293537263,0.329345703125,0.36631223293537263,0.21948654816743912,1.9646660667022953,0.0870351298873973,0.7868590641060987,,,2.0080586212901443,81.03466796875,2544.0,2030.05615234375,2544.0
9,50,transformer,42,0.0004945369001834515,16384.0,7.842203114000029,1078.778485716223,7,0.26361520442946906,10,2,0.3876554174067496,0.3327592855381597,0.2483530173283468,0.3327592855381597,0.24441355257365383,0.5906095982064375,0.3876554174067496,0.42530447494457624,0.3876554174067496,0.3876554174067496,0.3876554174067496,0.29686036426712914,0.3134129435793588,0.6157489638839551,0.7199526346950859,0.3928003305510842,0.3468017578125,0.3928003305510842,0.25260228627951914,1.8641251661488243,0.052488572079447904,0.7503598056685032,,,1.9018290452240063,7.152453782423487,25.246456146240234,15.089983940124512,0.4424882629107981,0.31296974558940255,0.2735417685608369,0.31296974558940255,0.24755776900198478,0.6437745978428334,0.4424882629107981,0.49688353248627815,0.4424882629107981,0.4424882629107981,0.4424882629107981,0.34106648072595025,0.35717321615899156,0.6643192488262911,0.7359154929577465,0.37767766674919306,0.352294921875,0.37767766674919306,0.2610553676533587,1.8802787475223834,0.07942063595767311,0.7195976824010646,,,1.953959219332592,81.03466796875,2544.0,2030.05615234375,2544.0
10,50,transformer,42,0.0004903154239845798,16384.0,7.429645870999991,1138.681458967213,7,0.26361520442946906,10,3,0.3932800473653049,0.3404657978758783,0.25148790509011365,0.3404657978758783,0.24784880236840956,0.6051689750767201,0.3932800473653049,0.4391128227589013,0.3932800473653049,0.3932800473653049,0.3932800473653049,0.3046312901712156,0.32038962983458064,0.6050917702782712,0.7147720544701006,0.39837580534605815,0.35009765625,0.39837580534605815,0.2589732128145287,1.8253688022052819,0.04245653711457872,0.7441449291251859,,,1.840019273962616,,,6.015689849853516,0.45305164319248825,0.33289180134796087,0.3124428508321545,0.33289180134796087,0.25748240445433407,0.6835114270075138,0.45305164319248825,0.4777864485758877,0.45305164319248825,0.45305164319248825,0.45305164319248825,0.3537909031020826,0.3836145302522569,0.6995305164319249,0.778169014084507,0.4080854245754475,0.3792724609375,0.4080854245754475,0.2818429852035684,1.805138453753344,0.06820886459708772,0.6988640529401101,,,1.920817319216303,81.03466796875,2544.0,2030.05615234375,2544.0
