mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
191.80669355392456,0.0,11.54660415649414,0.0,0.1,scale,"{""svm__C"": 0.1, ""svm__gamma"": ""scale""}",0.38205675426452634,0.38205675426452634,0.0,10
193.12578082084656,0.0,11.662707090377808,0.0,0.1,auto,"{""svm__C"": 0.1, ""svm__gamma"": ""auto""}",0.38205675426452634,0.38205675426452634,0.0,10
195.49923992156982,0.0,12.066130876541138,0.0,0.1,0.001,"{""svm__C"": 0.1, ""svm__gamma"": 0.001}",0.3711337420422437,0.3711337420422437,0.0,12
289.3190414905548,0.0,6.854352712631226,0.0,0.1,0.01,"{""svm__C"": 0.1, ""svm__gamma"": 0.01}",0.07891410024482928,0.07891410024482928,0.0,16
103.23633909225464,0.0,9.006946563720703,0.0,1.0,scale,"{""svm__C"": 1, ""svm__gamma"": ""scale""}",0.4237976449221996,0.4237976449221996,0.0,2
103.13760232925415,0.0,9.219552516937256,0.0,1.0,auto,"{""svm__C"": 1, ""svm__gamma"": ""auto""}",0.4237976449221996,0.4237976449221996,0.0,2
107.60347056388855,0.0,9.09149980545044,0.0,1.0,0.001,"{""svm__C"": 1, ""svm__gamma"": 0.001}",0.42146611841893133,0.42146611841893133,0.0,4
256.53512620925903,0.0,7.7626776695251465,0.0,1.0,0.01,"{""svm__C"": 1, ""svm__gamma"": 0.01}",0.2194301334148399,0.2194301334148399,0.0,13
69.09297442436218,0.0,8.015573024749756,0.0,10.0,scale,"{""svm__C"": 10, ""svm__gamma"": ""scale""}",0.41662086030596723,0.41662086030596723,0.0,5
68.49057459831238,0.0,7.959367990493774,0.0,10.0,auto,"{""svm__C"": 10, ""svm__gamma"": ""auto""}",0.41662086030596723,0.41662086030596723,0.0,5
63.96783375740051,0.0,7.774800539016724,0.0,10.0,0.001,"{""svm__C"": 10, ""svm__gamma"": 0.001}",0.42933886457425285,0.42933886457425285,0.0,1
174.1061408519745,0.0,7.908937454223633,0.0,10.0,0.01,"{""svm__C"": 10, ""svm__gamma"": 0.01}",0.20689364605547472,0.20689364605547472,0.0,14
62.73094153404236,0.0,7.01004695892334,0.0,100.0,scale,"{""svm__C"": 100, ""svm__gamma"": ""scale""}",0.40017699833131043,0.40017699833131043,0.0,8
62.226839780807495,0.0,7.1329505443573,0.0,100.0,auto,"{""svm__C"": 100, ""svm__gamma"": ""auto""}",0.40017699833131043,0.40017699833131043,0.0,8
50.021600008010864,0.0,6.459913969039917,0.0,100.0,0.001,"{""svm__C"": 100, ""svm__gamma"": 0.001}",0.40033273176505185,0.40033273176505185,0.0,7
165.76088690757751,0.0,5.605268239974976,0.0,100.0,0.01,"{""svm__C"": 100, ""svm__gamma"": 0.01}",0.20689364605547472,0.20689364605547472,0.0,14
