epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,40,cnn2d,42,0.0003,32768.0,24.33428264100803,625.2906742505761,1,0.16675021950701352,6,0,0.3734458259325044,0.2790187004186258,0.20490034727900042,0.2790187004186258,0.204832542832379,0.5332755488970321,0.3734458259325044,0.4041503816839821,0.3734458259325044,0.3734458259325044,0.3734458259325044,0.2632555922328611,0.2756766888472646,0.5591326228537596,0.6659265837773831,0.25514272686431505,0.2152099609375,0.25514272686431505,0.17466758029251991,2.2901917299823427,0.12212963115540816,0.7994968641243192,,,2.187969971366575,0.3984741784037559,0.2559316613544059,0.2080495584672725,0.2559316613544059,0.16675021950701352,0.5982490625850735,0.3984741784037559,0.42373115619784507,0.3984741784037559,0.3984741784037559,0.3984741784037559,0.29129755926547496,0.3138664960808489,0.596830985915493,0.6842723004694836,0.3544661472660835,0.2967529296875,0.3544661472660835,0.23529781642514216,1.9960649747081085,0.09429978205004769,0.7573798938386929,,,2.256728656415089,79.91796875,1024.0,1903.47802734375,4386.0
2,40,cnn2d,42,0.00029953760005996916,32768.0,12.697402684018016,1198.3553155443433,2,0.3092620863366473,6,0,0.4453818827708703,0.361632588572507,0.25879290622177625,0.361632588572507,0.2679863045431139,0.6163617710599162,0.4453818827708703,0.4908987206207615,0.4453818827708703,0.4453818827708703,0.4453818827708703,0.34468789524576904,0.35760298892561854,0.6182652457075193,0.7218768502072233,0.3472370443575618,0.3050537109375,0.3472370443575618,0.24876353056420936,2.0061988976316925,0.0987224499808041,0.7199987690631446,,,1.8963389401608066,0.5504694835680751,0.37008876159966975,0.3153243189000258,0.37008876159966975,0.3092620863366473,0.6672216287753455,0.5504694835680751,0.5711957353202478,0.5504694835680751,0.5504694835680751,0.5504694835680751,0.4392882764071878,0.453116160673893,0.6977699530516432,0.7910798122065728,0.42117169877173194,0.3690185546875,0.42117169877173194,0.3254330079880119,1.7940096000660253,0.1356047509421765,0.6291357333241117,,,1.8097226916344513,79.91796875,4386.0,1603.95849609375,4386.0
3,40,cnn2d,42,0.00029815325108927063,16384.0,12.57708763401024,1209.8190330529114,2,0.3092620863366473,6,1,0.47217288336293667,0.40498227598732883,0.2887702344926504,0.40498227598732883,0.2989994439085537,0.6563133292884514,0.47217288336293667,0.5199741129371608,0.47217288336293667,0.47217288336293667,0.47217288336293667,0.3775489941518949,0.3920620190906278,0.644316163410302,0.7438573120189461,0.3904239887172051,0.346435546875,0.3904239887172051,0.281200596130833,1.8683380911613066,0.08414715348509659,0.6913852738941276,,,1.7838498361721908,0.4642018779342723,0.34930853792352146,0.252436446034007,0.34930853792352146,0.24613096039823834,0.6786444827313515,0.4642018779342723,0.5126008780666998,0.4642018779342723,0.4642018779342723,0.4642018779342723,0.37489146249293315,0.39264014128214053,0.596830985915493,0.6754694835680751,0.3745203152508803,0.321533203125,0.3745203152508803,0.2673132638556297,1.9574165983237095,0.09110055842869716,0.705149023762877,,,1.808029569930314,79.91796875,4386.0,1603.95849609375,4386.0
4,40,cnn2d,42,0.0002958554880596515,16384.0,12.27964293898549,1239.1239774319615,2,0.3092620863366473,6,2,0.4762433392539964,0.41243388952356513,0.2971271299005326,0.41243388952356513,0.3063078240424037,0.6737445933922611,0.4762433392539964,0.527550807237753,0.4762433392539964,0.4762433392539964,0.4762433392539964,0.3856971748857153,0.4016341642269851,0.6489046773238603,0.7466696269982238,0.41029831303020003,0.365234375,0.41029831303020003,0.29395936856949517,1.824117646015225,0.0669902487574702,0.6820721943965451,,,1.721486601199957,0.4595070422535211,0.3759240508431472,0.3162169127753979,0.3759240508431472,0.2918747928989994,0.7176560082425048,0.4595070422535211,0.5210339839501984,0.4595070422535211,0.4595070422535211,0.4595070422535211,0.37309172312054417,0.3938069458681944,0.642018779342723,0.7394366197183099,0.4187973810473518,0.3580322265625,0.4187973810473518,0.29963528088560687,1.789926431719871,0.04381070562371625,0.6809687997067337,,,1.7648143947404316,79.91796875,4386.0,1603.95849609375,4386.0
5,40,cnn2d,42,0.00029265847744427303,16384.0,13.134131098981015,1158.5083082641456,2,0.3092620863366473,6,3,0.5078448786264061,0.44395093360137416,0.31133830325109885,0.44395093360137416,0.3278144557448648,0.6878407257255148,0.5078448786264061,0.5576559073998044,0.5078448786264061,0.5078448786264061,0.5078448786264061,0.4168238556652478,0.4309207468989081,0.6708111308466548,0.7645056246299585,0.436889752330972,0.388427734375,0.436889752330972,0.3239072697703622,1.736560988452651,0.0713565345344069,0.6485544686209546,,,1.6250527187379031,0.23943661971830985,0.34383407526812415,0.2563979608714424,0.34383407526812415,0.205839400230319,0.6191710312845494,0.23943661971830985,0.25226908003773973,0.23943661971830985,0.23943661971830985,0.23943661971830985,0.1834874257483583,0.2165540606649568,0.4507042253521127,0.5369718309859155,0.48921063920141944,0.452880859375,0.48921063920141944,0.20564282968850203,1.5996483286905505,0.24977401948310957,0.9376633733115546,,,2.2858843669085434,79.91796875,4386.0,1603.95849609375,4386.0
6,40,cnn2d,42,0.000288581929876693,16384.0,13.21316352498252,1151.578875961889,2,0.3092620863366473,6,4,0.5170219064535228,0.4676012218099208,0.32760188202917057,0.4676012218099208,0.34599236724050747,0.6996964027710895,0.5170219064535228,0.5680361025330682,0.5170219064535228,0.5170219064535228,0.5170219064535228,0.4274748236614542,0.44186756026249163,0.6785820011841326,0.7721284783895797,0.4567405741337561,0.407958984375,0.4567405741337561,0.3398813895170967,1.6751758717610163,0.06224016694361956,0.6362161606304219,,,1.5620905885405623,0.5504694835680751,0.3662661939618468,0.3059040695641755,0.3662661939618468,0.27901882183841453,0.6878470017733368,0.5504694835680751,0.5635892532128153,0.5504694835680751,0.5504694835680751,0.5504694835680751,0.4483507120542055,0.4648216539435324,0.7024647887323944,0.8075117370892019,0.5542327809221868,0.5185546875,0.5542327809221868,0.4160107826473008,1.3661361943285226,0.05166500610924662,0.5833703888779188,,,1.9033080720006021,79.91796875,4386.0,1603.95849609375,4386.0
7,40,cnn2d,42,0.0002836509786282552,16384.0,12.284345266001765,1238.6496529132817,2,0.3092620863366473,6,5,0.5213143872113677,0.495949888380933,0.3314330412699547,0.495949888380933,0.35371493002028864,0.7029333331301438,0.5213143872113677,0.5719092205431433,0.5213143872113677,0.5213143872113677,0.5213143872113677,0.43278088395941094,0.44714765994772976,0.6925695677915926,0.7838957963291888,0.46840122509736715,0.4224853515625,0.46840122509736715,0.35028268174528016,1.6295141277066878,0.057964589201959356,0.6273500189474521,,,1.4990144483149581,0.39436619718309857,0.35225435388512755,0.3245655033288269,0.35225435388512755,0.2698431650087443,0.7036171518873171,0.39436619718309857,0.47041872376191624,0.39436619718309857,0.39436619718309857,0.39436619718309857,0.3068657627094594,0.3270809671555681,0.5346244131455399,0.6332159624413145,0.43481237563728725,0.375,0.43481237563728725,0.2612329644496452,1.7185950121992715,0.06243617098096389,0.774058110555951,,,2.0562924294964247,79.91796875,4386.0,1603.95849609375,4386.0
8,40,cnn2d,42,0.00027789602465311383,16384.0,12.534580414998345,1213.9217665230487,2,0.3092620863366473,6,6,0.5427767910005921,0.517585731340138,0.3424399223279593,0.517585731340138,0.36920157394990494,0.7136919465573255,0.5427767910005921,0.5909547682166769,0.5427767910005921,0.5427767910005921,0.5427767910005921,0.4553346283607881,0.468818129909889,0.7012285375962107,0.7864120781527532,0.47627090716093795,0.4287109375,0.47627090716093795,0.3615113024072156,1.600784934408295,0.07093881953743661,0.6136698521681854,,,1.4646867319562153,0.37089201877934275,0.4053159772628217,0.30359877900398646,0.4053159772628217,0.2663151717438118,0.6650518692242116,0.37089201877934275,0.41329867002954596,0.37089201877934275,0.37089201877934275,0.37089201877934275,0.2827415496685204,0.3060626912161193,0.590962441314554,0.6742957746478874,0.5075884895145614,0.4736328125,0.5075884895145614,0.2902586462562073,1.4923831619739876,0.1366964707352186,0.7914497896986131,,,2.0257646041297015,79.91796875,4386.0,1603.95849609375,4386.0
