epoch,max_epochs,model,seed,learning_rate,grad_scaler_scale,epoch_seconds,samples_per_sec,best_epoch,best_val_macro_f1,patience,patience_used,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_cohen_kappa,train_matthews_corrcoef,train_top_2_accuracy,train_top_3_accuracy,train_mean_confidence,train_median_confidence,train_mean_predicted_class_confidence,train_mean_true_class_probability,train_prediction_entropy,train_expected_calibration_error,train_multiclass_brier,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,train_loss,train_grad_norm_mean,train_grad_norm_max,train_grad_norm_last,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_cohen_kappa,val_matthews_corrcoef,val_top_2_accuracy,val_top_3_accuracy,val_mean_confidence,val_median_confidence,val_mean_predicted_class_confidence,val_mean_true_class_probability,val_prediction_entropy,val_expected_calibration_error,val_multiclass_brier,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_loss,cuda_memory_allocated_mb,cuda_memory_reserved_mb,cuda_peak_memory_allocated_mb,cuda_peak_memory_reserved_mb
1,50,transformer,42,5e-06,16384.0,24.27117357397219,626.9165334599751,1,0.16127439833225493,10,0,0.24452338661930137,0.14174181897822014,0.10518682499996473,0.14174181897822014,0.10178831983202558,0.3322349722267034,0.24452338661930137,0.24554264365797415,0.24452338661930137,0.24452338661930137,0.24452338661930137,0.10250091161582053,0.1083376187748844,0.39357608052101833,0.5099911190053286,0.1331493497388895,0.1259765625,0.1331493497388895,0.09363350125725556,2.6384553100021475,0.11144804516934022,0.8926625526847021,,,2.629166782502242,,,13.63574504852295,0.4166666666666667,0.19330213705458366,0.16357387403772422,0.19330213705458366,0.16127439833225493,0.4398557943422404,0.4166666666666667,0.4097871308903936,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.2615619637550747,0.2678377771665957,0.6302816901408451,0.7341549295774648,0.1515841416909661,0.1375732421875,0.1515841416909661,0.12518713955588184,2.5729505920355917,0.26792481471675095,0.8394136813142513,,,2.3797200744700544,82.03466796875,4186.0,3950.07177734375,4186.0
2,50,transformer,42,0.000104,16384.0,23.141302079020534,657.5256633374375,2,0.20395257273138498,10,0,0.30965068087625813,0.22320505472986896,0.1814622319754584,0.22320505472986896,0.17134461344122748,0.5079259979593767,0.30965068087625813,0.3559877976025227,0.30965068087625813,0.30965068087625813,0.30965068087625813,0.2045150747562452,0.21638979333425842,0.5174659561870929,0.6306246299585554,0.2627726860339999,0.2244873046875,0.2627726860339999,0.16932466292677723,2.2457213253558836,0.051971304550758116,0.8164445329399659,,,2.348396855179836,8.143490489211207,25.306455612182617,9.136550903320312,0.41901408450704225,0.29224165972091465,0.2814081412504933,0.29224165972091465,0.20395257273138498,0.531237493868722,0.41901408450704225,0.3657308423771694,0.41901408450704225,0.41901408450704225,0.41901408450704225,0.30180265006735874,0.34334919593781577,0.6373239436619719,0.7071596244131455,0.3596856202318075,0.3380126953125,0.3596856202318075,0.24532043430167186,2.0204923602038747,0.10654703776041669,0.7213442452375228,,,2.0436084404797623,82.03466796875,4186.0,3950.07177734375,4186.0
3,50,transformer,42,0.00020299999999999997,16384.0,23.365019185002893,651.2299382046544,3,0.20812501278897594,10,0,0.35042924807578446,0.28134804975195193,0.21148009347611912,0.28134804975195193,0.20769985232555604,0.551226118989997,0.35042924807578446,0.3936828412474114,0.35042924807578446,0.35042924807578446,0.35042924807578446,0.2503472099530928,0.26480913603907996,0.5748963883955003,0.6679248075784487,0.3268142528545228,0.2872314453125,0.3268142528545228,0.20850253641570088,2.0331529548915173,0.05768553133615027,0.7850243085640323,,,2.1603694912101337,7.3930090589726225,18.672988891601562,7.589450359344482,0.3779342723004695,0.3118994634660099,0.22147333195626406,0.3118994634660099,0.20812501278897594,0.5935704849669936,0.3779342723004695,0.40148587763730653,0.3779342723004695,0.3779342723004695,0.3779342723004695,0.27796956522434335,0.3017866086085168,0.5944835680751174,0.6784037558685446,0.3472912927188784,0.31591796875,0.3472912927188784,0.22286725631901916,2.0160389036963875,0.056125658778517475,0.7645019716813585,,,2.0156701484196624,82.03466796875,4186.0,3950.07177734375,4186.0
4,50,transformer,42,0.00030199999999999997,16384.0,23.289498311991338,653.3416819960247,4,0.28006799397068566,10,0,0.3698194197750148,0.3013146796788291,0.2306509353631687,0.3013146796788291,0.22627594401961595,0.5902673861061599,0.3698194197750148,0.418131410381888,0.3698194197750148,0.3698194197750148,0.3698194197750148,0.27431059030505267,0.29016159625534027,0.5816311426879811,0.6844286560094731,0.35829738980570514,0.317138671875,0.35829738980570514,0.2261947941822438,1.956802503536042,0.040510115502076866,0.7721709577502192,,,2.0951199774349702,7.12756296252528,19.882171630859375,12.01054573059082,0.47417840375586856,0.3374712815153873,0.3033177963129057,0.3374712815153873,0.28006799397068566,0.6586519614457456,0.47417840375586856,0.4983357172417695,0.47417840375586856,0.47417840375586856,0.47417840375586856,0.37127648929103974,0.39142212043408403,0.6244131455399061,0.755868544600939,0.35625747895576587,0.318603515625,0.35625747895576587,0.2640836882479314,1.9405601486981712,0.11884418899464494,0.6948224534856541,,,1.8853692264064377,82.03466796875,4186.0,3950.07177734375,4186.0
5,50,transformer,42,0.00040099999999999994,16384.0,23.93327944999328,635.7674480754986,4,0.28006799397068566,10,1,0.39742451154529307,0.31152295042275746,0.23169449192484518,0.31152295042275746,0.23253262310790834,0.6049360514263681,0.39742451154529307,0.44523438094425033,0.39742451154529307,0.39742451154529307,0.39742451154529307,0.30076876681553466,0.3157965755906083,0.6052397868561279,0.6997483718176436,0.3792996132705535,0.3369140625,0.3792996132705535,0.24664877463615173,1.8943339911291335,0.03583879849132949,0.7477632361571317,,,2.032218857726238,,,14.435759544372559,0.35269953051643194,0.30000184300612587,0.2497004882301026,0.30000184300612587,0.19867553802423638,0.6432856333157435,0.35269953051643194,0.3384561747509141,0.35269953051643194,0.35269953051643194,0.35269953051643194,0.2598601008663066,0.2996194077032479,0.545774647887324,0.6895539906103286,0.4483175501577171,0.421630859375,0.4483175501577171,0.24299035245823747,1.7596565737341543,0.09561801964128522,0.805545897059341,,,2.013457009490107,82.03466796875,4186.0,3950.07177734375,4186.0
6,50,transformer,42,0.0005,8192.0,23.389212875976227,650.5563090423115,4,0.28006799397068566,10,2,0.40482534043812907,0.33142505070615197,0.24311478442197282,0.33142505070615197,0.24691631085971394,0.6030859572528321,0.40482534043812907,0.45318863657075603,0.40482534043812907,0.40482534043812907,0.40482534043812907,0.30700214317312824,0.32130749954740384,0.6032415630550622,0.7041888691533452,0.38569420678436295,0.33837890625,0.38569420678436295,0.2525714033273919,1.861942344435123,0.038882818498718746,0.7438321781264918,,,1.99762478038501,,,13.967272758483887,0.511150234741784,0.36822082012005036,0.273792774824644,0.36822082012005036,0.27471669123673104,0.6502499625016366,0.511150234741784,0.5463838989963717,0.511150234741784,0.511150234741784,0.511150234741784,0.40617291801237665,0.41731556614022336,0.670774647887324,0.7564553990610329,0.433929228446853,0.392822265625,0.433929228446853,0.30713583801833677,1.7530523064044765,0.08785602408395686,0.6716214390445256,,,1.8731777667999268,82.03466796875,4186.0,3950.07177734375,4186.0
7,50,transformer,42,0.0004993910125649561,8192.0,23.159377554024104,657.0124764582075,4,0.28006799397068566,10,3,0.43013617525162817,0.35714454946892343,0.2564204314207812,0.35714454946892343,0.26605129871920635,0.616644111824967,0.43013617525162817,0.4760499839500758,0.43013617525162817,0.43013617525162817,0.43013617525162817,0.33200556343578336,0.3459278096756879,0.6252220248667851,0.7222468916518651,0.40399354219860123,0.36181640625,0.40399354219860123,0.27039586493713463,1.811027023222329,0.041489668327227655,0.7228101401661129,,,1.9331591797693726,6.859971918958299,28.693958282470703,11.903547286987305,0.5011737089201878,0.30607483355534415,0.28829725481421586,0.30607483355534415,0.26925022215564764,0.675504910251769,0.5011737089201878,0.5498277133804711,0.5011737089201878,0.5011737089201878,0.5011737089201878,0.40244147462129676,0.41592463032200155,0.653755868544601,0.7458920187793427,0.4011185337120379,0.353271484375,0.4011185337120379,0.28961245554713577,1.816908265002234,0.11714688153334067,0.6814967212896184,,,1.8092381915016353,82.03466796875,4186.0,3950.07177734375,4186.0
8,50,transformer,42,0.0004975670171853926,8192.0,23.181599837029353,656.3826529217615,4,0.28006799397068566,10,4,0.4293220840734162,0.350204539034545,0.26244825571710506,0.350204539034545,0.2662660839196208,0.6221905610041474,0.4293220840734162,0.4770191258500712,0.4293220840734162,0.4293220840734162,0.4293220840734162,0.3324689279184293,0.3465691264416589,0.6164150384843102,0.7191385435168739,0.4151252760133354,0.368408203125,0.4151252760133354,0.2760055404290989,1.7813968466963808,0.03513132460093343,0.7224060907946837,,,1.8805144636358575,7.160474855003628,27.39019012451172,18.6357421875,0.505868544600939,0.3481358715245221,0.27158511007568353,0.3481358715245221,0.26606711236168884,0.670374507373822,0.505868544600939,0.5410216669744811,0.505868544600939,0.505868544600939,0.505868544600939,0.4067588330733952,0.4214542499666906,0.681924882629108,0.7488262910798122,0.4404906510187427,0.407958984375,0.4404906510187427,0.3280919107822745,1.714253916109583,0.07393413418335533,0.6398772325674555,,,1.7459440886134832,82.03466796875,4186.0,3950.07177734375,4186.0
9,50,transformer,42,0.0004945369001834515,8192.0,23.48565366596449,647.8848839558207,9,0.30581921613215235,10,0,0.44552989934872705,0.384987121971751,0.27614258815031667,0.384987121971751,0.28703561221408735,0.6334779979496158,0.44552989934872705,0.4937486712658122,0.44552989934872705,0.44552989934872705,0.44552989934872705,0.3496459048201588,0.36399527010466026,0.6376554174067496,0.7357164002368265,0.42970693259637266,0.390380859375,0.42970693259637266,0.2892055840200048,1.7272051248955975,0.03316851492249944,0.7086301860875149,,,1.8060932448095228,7.156436949475156,28.021093368530273,9.3712158203125,0.5146713615023474,0.40280251741724415,0.31906604002051014,0.40280251741724415,0.30581921613215235,0.7022691646868316,0.5146713615023474,0.5519963659942271,0.5146713615023474,0.5146713615023474,0.5146713615023474,0.421461552577852,0.4401363275333059,0.7089201877934272,0.7869718309859155,0.5182813904095144,0.4884033203125,0.5182813904095144,0.3567922880671953,1.471898101851233,0.05977627033359006,0.6575723360078675,,,1.7814141688212541,82.03466796875,4186.0,3950.07177734375,4186.0
10,50,transformer,42,0.0004903154239845798,8192.0,23.24590125697432,654.5670065356077,9,0.30581921613215235,10,1,0.4554470100651273,0.4027190115161391,0.27976646892770085,0.4027190115161391,0.2966873171434242,0.6328547587442813,0.4554470100651273,0.5014530599289814,0.4554470100651273,0.4554470100651273,0.4554470100651273,0.3585895605715137,0.37197622518444506,0.6463143872113677,0.7358644168146833,0.43474728373679417,0.390625,0.43474728373679417,0.29526396543052225,1.7191065267230075,0.03633647080777734,0.7009974636997179,,,1.778952003160548,7.514437226820781,34.17341232299805,6.175726413726807,0.5745305164319249,0.36898438503315545,0.3109119759551762,0.36898438503315545,0.2993565311740243,0.6748343686469457,0.5745305164319249,0.5980848527638992,0.5745305164319249,0.5745305164319249,0.5745305164319249,0.471055328965565,0.4835044221267049,0.7030516431924883,0.778169014084507,0.480010341590559,0.4326171875,0.480010341590559,0.37251823252075716,1.5923938071149915,0.09900654537577024,0.5876095938712131,,,1.7896601017651983,82.03466796875,4186.0,3950.07177734375,4186.0
11,50,transformer,42,0.0004849231551964772,8192.0,23.56434837402776,645.72122931143,11,0.33121644600798705,10,0,0.47180284191829486,0.3941514310560602,0.28272197412950884,0.3941514310560602,0.2984858960508583,0.6317519900374192,0.47180284191829486,0.5149196811269993,0.47180284191829486,0.47180284191829486,0.47180284191829486,0.3723696871939708,0.3846293311214552,0.6602279455298994,0.7502960331557135,0.44320704910160874,0.397216796875,0.44320704910160874,0.3033014769434858,1.6898561485760646,0.056110614711113276,0.6938115674747961,,,1.7834081635664312,,,13.985002517700195,0.5645539906103286,0.3842589060950124,0.3276432067822731,0.3842589060950124,0.33121644600798705,0.6875348478861197,0.5645539906103286,0.6008438318936594,0.5645539906103286,0.5645539906103286,0.5645539906103286,0.46602676099700613,0.47635191863634946,0.7353286384976526,0.8204225352112676,0.4564572902912265,0.4090576171875,0.4564572902912265,0.35163167161001285,1.663919980453645,0.11368528554137326,0.6084293911453917,,,1.7177402620584192,82.03466796875,4186.0,3950.07177734375,4186.0
12,50,transformer,42,0.0004783863644106503,8192.0,23.308228827023413,652.8166559939838,11,0.33121644600798705,10,1,0.4709887507400829,0.41051113900157155,0.2936327113975177,0.41051113900157155,0.3100331983670145,0.6432777447888179,0.4709887507400829,0.5164439336061685,0.4709887507400829,0.4709887507400829,0.4709887507400829,0.3744683804379908,0.38778980134778396,0.6593398460627591,0.7558466548253404,0.44630713092991414,0.40380859375,0.44630713092991414,0.3085067960074697,1.6808246282270278,0.0437152110450433,0.6868723101268316,,,1.7224855336866272,7.325140646445272,35.23979568481445,5.9705915451049805,0.45129107981220656,0.35736075421409114,0.2810790548099791,0.35736075421409114,0.2664677345475629,0.6999585260604171,0.45129107981220656,0.4835926376421351,0.45129107981220656,0.45129107981220656,0.45129107981220656,0.36373602017527573,0.38667645622602936,0.6402582159624414,0.7417840375586855,0.46146346257885856,0.39794921875,0.46146346257885856,0.3181439002914608,1.6192603872796825,0.034454345703125,0.6874534912017286,,,1.779787541555127,82.03466796875,4186.0,3950.07177734375,4186.0
13,50,transformer,42,0.00047073689821473184,8192.0,23.258813285967335,654.2036265100515,11,0.33121644600798705,10,2,0.47676139727649497,0.4242461774432973,0.2966472038373044,0.4242461774432973,0.3160693054696338,0.652394341112305,0.47676139727649497,0.5238607730959635,0.47676139727649497,0.47676139727649497,0.47676139727649497,0.3816000252564993,0.3950841966860213,0.6621521610420367,0.7614712847838958,0.4603690942975457,0.41357421875,0.4603690942975457,0.3182344782398324,1.6312720808724244,0.03986559653860921,0.6806051426898,,,1.6879096717224664,7.57025683123451,29.642444610595703,4.066990375518799,0.5316901408450704,0.3874868910063918,0.30767948641102844,0.3874868910063918,0.29695159589922837,0.6981701203135888,0.5316901408450704,0.579606029184763,0.5316901408450704,0.5316901408450704,0.5316901408450704,0.43854375610573837,0.4513712673688812,0.7036384976525821,0.7863849765258216,0.4714448597509536,0.4337158203125,0.4714448597509536,0.33925989703952986,1.6384304657103888,0.08263916588725059,0.6437248578575211,,,1.739690813660062,82.03466796875,4186.0,3950.07177734375,4186.0
14,50,transformer,42,0.0004620120240391065,8192.0,23.583014764008112,645.2101290807964,11,0.33121644600798705,10,3,0.4860864416814683,0.4174310255365247,0.2970692812842285,0.4174310255365247,0.3156677569315801,0.6482073594127908,0.4860864416814683,0.530226522561786,0.4860864416814683,0.4860864416814683,0.4860864416814683,0.38947092554067386,0.40182931646898595,0.6737714624037893,0.7692421551213736,0.4694250546100226,0.42626953125,0.4694250546100226,0.32736248628425485,1.6056164486160822,0.04215561644857349,0.671445409897437,,,1.6537094338184422,7.779318672545413,38.68003845214844,5.474452018737793,0.5041079812206573,0.35435270779190803,0.2981164381871107,0.35435270779190803,0.296996613103399,0.7024579784402607,0.5041079812206573,0.5649453035660704,0.5041079812206573,0.5041079812206573,0.5041079812206573,0.41226605014768036,0.42644640148458907,0.6578638497652582,0.7505868544600939,0.468769413764488,0.4329833984375,0.468769413764488,0.337801112115663,1.6049524257677832,0.037091823810702765,0.6484826303952663,,,1.7149586319363732,82.03466796875,4186.0,3950.07177734375,4186.0
15,50,transformer,42,0.00045225424859373693,8192.0,23.459012791980058,648.6206446505669,11,0.33121644600798705,10,4,0.4940793368857312,0.43487826291128995,0.3090384801983348,0.43487826291128995,0.33197731655526336,0.652054874090707,0.4940793368857312,0.537680957385027,0.4940793368857312,0.4940793368857312,0.4940793368857312,0.39762789065374426,0.4097101293277864,0.6756956779159266,0.7717584369449378,0.46673293986074876,0.421630859375,0.46673293986074876,0.33044507953985125,1.6048192110574864,0.043302717824318195,0.6631033035912567,,,1.6395383146544615,7.824208933692733,38.002906799316406,30.635581970214844,0.5041079812206573,0.3965462466513979,0.3062837216061698,0.3965462466513979,0.3136760943232395,0.6723036794406391,0.5041079812206573,0.5531563940819966,0.5041079812206573,0.5041079812206573,0.5041079812206573,0.4087402860046606,0.42193960877936637,0.6907276995305164,0.7799295774647887,0.48564885815544306,0.449462890625,0.48564885815544306,0.34271977610991033,1.5194479290616247,0.051986336148400834,0.6581622556776174,,,1.77051172094166,82.03466796875,4186.0,3950.07177734375,4186.0
16,50,transformer,42,0.00044151111077974454,8192.0,22.86156721401494,665.5711683087089,11,0.33121644600798705,10,5,0.48527235050325634,0.44525596004055035,0.30751885102987436,0.44525596004055035,0.32997850938767365,0.656130891455399,0.48527235050325634,0.528551523642443,0.48527235050325634,0.48527235050325634,0.48527235050325634,0.3913668666654543,0.40508620538964923,0.6719952634695086,0.7726465364120781,0.477141069194281,0.4302978515625,0.477141069194281,0.33175232495214896,1.5656970797009346,0.03888947671514208,0.6724526112063199,,,1.5997708354778302,,,14.192906379699707,0.4894366197183099,0.36945202215296813,0.28940661691121156,0.36945202215296813,0.27919453263976546,0.6773839752447476,0.4894366197183099,0.5304738778783464,0.4894366197183099,0.4894366197183099,0.4894366197183099,0.3912588935914403,0.4061550004457315,0.6637323943661971,0.755868544600939,0.48654490009719775,0.4388427734375,0.48654490009719775,0.33577839194189213,1.5425366999535797,0.02845026293830693,0.670165104072599,,,1.8433017585199203,82.03466796875,4186.0,3950.07177734375,4186.0
17,50,transformer,42,0.00042983495008466283,8192.0,23.368873498984613,651.1225284633913,11,0.33121644600798705,10,6,0.4886027235050326,0.46389613518012307,0.3167033982882796,0.46389613518012307,0.34019064123030107,0.6643297526282493,0.4886027235050326,0.5355783317272158,0.4886027235050326,0.4886027235050326,0.4886027235050326,0.3953082582454328,0.4088891813464369,0.6667406749555951,0.7678359976317347,0.476468002111549,0.429931640625,0.476468002111549,0.3322515761123528,1.5753948397948443,0.03876605127039854,0.6693378899949625,,,1.601871049142999,8.09405423732514,42.842308044433594,7.335158824920654,0.5328638497652582,0.40385520201768577,0.2932435277750986,0.40385520201768577,0.2976377219277868,0.6945991394791085,0.5328638497652582,0.5751855245157695,0.5328638497652582,0.5328638497652582,0.5328638497652582,0.44021232892824813,0.45337445618106936,0.6960093896713615,0.7816901408450704,0.5265800225342943,0.483642578125,0.5265800225342943,0.3794483577771366,1.4295405082026182,0.045425271764047835,0.6269287276962862,,,1.8128667560541574,82.03466796875,4186.0,3950.07177734375,4186.0
18,50,transformer,42,0.0004172826515897146,8192.0,23.36254772497341,651.2988300387653,11,0.33121644600798705,10,7,0.5031823564239195,0.4930657677558333,0.3257175562600333,0.4930657677558333,0.35700875317531017,0.6694960624960186,0.5031823564239195,0.547065172023259,0.5031823564239195,0.5031823564239195,0.5031823564239195,0.41027125243105467,0.42347385784147057,0.6849467140319716,0.7790112492599172,0.4929943186351715,0.44677734375,0.4929943186351715,0.3508799589813073,1.519984966154468,0.02979830103276255,0.6496366344829806,,,1.5138597335950943,8.261736890102954,48.312232971191406,32.05508041381836,0.5105633802816901,0.37634817426983685,0.2856024373297136,0.37634817426983685,0.29359599862264135,0.680786519894097,0.5105633802816901,0.5548183250037975,0.5105633802816901,0.5105633802816901,0.5105633802816901,0.41553548030489595,0.4287199484202436,0.6971830985915493,0.79518779342723,0.5471081084488703,0.51416015625,0.5471081084488703,0.38133917678969564,1.3524407615883007,0.05372512172645248,0.6458311467677563,,,1.7841244807265735,82.03466796875,4186.0,3950.07177734375,4186.0
19,50,transformer,42,0.0004039153688314146,8192.0,23.10203621396795,658.6432407546874,19,0.34076473474883984,10,0,0.5029603315571344,0.48625268364034124,0.3244489095544942,0.48625268364034124,0.35402909499121205,0.668246797877525,0.5029603315571344,0.5458697353370772,0.5029603315571344,0.5029603315571344,0.5029603315571344,0.41041865804025124,0.4236815145397282,0.6939757252812315,0.7894464179988159,0.5147289594579124,0.46826171875,0.5147289594579124,0.36448391162569244,1.4510210542726545,0.026240554908946688,0.646324786136867,,,1.4841264743223355,8.581752927872587,44.17706298828125,14.502720832824707,0.5927230046948356,0.4027132792442624,0.33516838978845076,0.4027132792442624,0.34076473474883984,0.6817733666802384,0.5927230046948356,0.6138240358840937,0.5927230046948356,0.5927230046948356,0.5927230046948356,0.4928042882196195,0.5006118163732435,0.7623239436619719,0.8380281690140845,0.5971729833755135,0.584716796875,0.5971729833755135,0.4509736184782825,1.2270907421694195,0.031599304485768774,0.5576121693690204,,,1.789358977700623,82.03466796875,4186.0,3950.07177734375,4186.0
20,50,transformer,42,0.00038979822586768676,16384.0,23.43910782400053,649.1714665188554,19,0.34076473474883984,10,1,0.511101243339254,0.49876580295957584,0.3353363654121896,0.49876580295957584,0.3668151317295891,0.6722767078633158,0.511101243339254,0.5547239410153393,0.511101243339254,0.511101243339254,0.511101243339254,0.41794408997677923,0.430616923087204,0.6954558910597987,0.794404973357016,0.5096740993682699,0.468994140625,0.5096740993682699,0.36270334783780495,1.4615531901480547,0.026384560295362444,0.6424467834626841,,,1.466032573003752,8.717743723668669,44.550418853759766,6.089815616607666,0.5551643192488263,0.39223988631028295,0.33874307256370273,0.39223988631028295,0.33735386030260206,0.691614370052824,0.5551643192488263,0.5932067617848178,0.5551643192488263,0.5551643192488263,0.5551643192488263,0.4593650668744993,0.47138896768904803,0.7165492957746479,0.8057511737089202,0.5351307470473885,0.492919921875,0.5351307470473885,0.3937553668945608,1.3976609954328179,0.0398525184308979,0.605472557225714,,,1.7479392541965968,82.03466796875,4186.0,3950.07177734375,4186.0
21,50,transformer,42,0.00037500000000000006,8192.0,23.288400660967454,653.3724759168538,19,0.34076473474883984,10,2,0.5071788040260509,0.5135345222324608,0.33371415182000136,0.5135345222324608,0.36599252376410013,0.6756926216352178,0.5071788040260509,0.552218011891062,0.5071788040260509,0.5071788040260509,0.5071788040260509,0.41556704704780856,0.4289239613783371,0.6954558910597987,0.7949230313795145,0.5186089198923873,0.477783203125,0.5186089198923873,0.3669874673988284,1.4412698982744787,0.025093444498987018,0.6437574203383022,,,1.4449006118599377,,,25.339237213134766,0.5463615023474179,0.39923503107793884,0.30551249914320333,0.39923503107793884,0.32071865282809736,0.6923226248712883,0.5463615023474179,0.5784116569451951,0.5463615023474179,0.5463615023474179,0.5463615023474179,0.4524681068633115,0.46600092854956876,0.7224178403755869,0.8192488262910798,0.5599499196513718,0.520263671875,0.5599499196513718,0.41099643994105256,1.319507253271507,0.0393138760132409,0.6025693063077929,,,1.8307138955649076,82.03466796875,4186.0,3950.07177734375,4186.0
22,50,transformer,42,0.00035959278669726944,8192.0,23.036575331992935,660.514845662332,19,0.34076473474883984,10,3,0.5051805802249852,0.5286658403643077,0.3436972243591617,0.5286658403643077,0.37682465691374206,0.6800623337673635,0.5051805802249852,0.550157719494082,0.5051805802249852,0.5051805802249852,0.5051805802249852,0.41508610149902114,0.4294543668792462,0.6930136175251628,0.7926287744227354,0.5162255675077014,0.4716796875,0.5162255675077014,0.3656034311461618,1.4357886012084338,0.023893483931528476,0.6457931259276569,,,1.3965063263072708,8.578933234755874,58.78989028930664,20.478357315063477,0.4865023474178404,0.391447914291976,0.34248156946716957,0.391447914291976,0.32009039550067625,0.7157242514778778,0.4865023474178404,0.5535775690459416,0.4865023474178404,0.4865023474178404,0.4865023474178404,0.39852062699081203,0.4152698544810538,0.6778169014084507,0.7793427230046949,0.5075477994103946,0.4676513671875,0.5075477994103946,0.3428313142397034,1.4545151199256725,0.052487297237199255,0.6814341529072726,,,1.8006073326012337,82.03466796875,4186.0,3950.07177734375,4186.0
