run_id,class,precision,recall,f1_score,support
long_sequence__mamba2_seed46_60s,0,0.0,0.0,0.0,8.0
long_sequence__mamba2_seed46_60s,1,0.5851063829787234,0.8870967741935484,0.7051282051282052,62.0
long_sequence__mamba2_seed46_60s,2,0.08450704225352113,0.3333333333333333,0.1348314606741573,18.0
long_sequence__mamba2_seed46_60s,3,0.0,0.0,0.0,6.0
long_sequence__mamba2_seed46_60s,4,0.8548895899053628,0.5093984962406015,0.6383981154299175,532.0
long_sequence__mamba2_seed46_60s,5,0.39622641509433965,0.336,0.36363636363636365,125.0
long_sequence__mamba2_seed46_60s,6,0.3230769230769231,0.40384615384615385,0.358974358974359,52.0
long_sequence__mamba2_seed46_60s,7,0.515527950310559,0.6916666666666667,0.5907473309608541,120.0
long_sequence__mamba2_seed46_60s,8,0.03125,0.013513513513513514,0.018867924528301886,74.0
long_sequence__mamba2_seed46_60s,9,0.0,0.0,0.0,2.0
long_sequence__mamba2_seed46_60s,10,0.23376623376623376,0.46153846153846156,0.3103448275862069,39.0
long_sequence__mamba2_seed46_60s,11,0.96,0.9411764705882353,0.9504950495049505,51.0
long_sequence__mamba2_seed46_60s,12,0.019417475728155338,0.21052631578947367,0.035555555555555556,19.0
long_sequence__mamba2_seed46_60s,13,0.8539325842696629,0.6229508196721312,0.7203791469194313,610.0
long_sequence__mamba2_seed46_60s,14,0.10476190476190476,0.2619047619047619,0.14965986394557823,42.0
long_sequence__mamba2_seed46_60s,15,0.2857142857142857,0.6666666666666666,0.4,12.0
long_sequence__mamba2_seed46_60s,macro avg,0.3280110492412295,0.3962261521220968,0.33606363767774255,1772.0
long_sequence__mamba2_seed46_60s,weighted avg,0.683000227566445,0.5349887133182845,0.583493835176719,1772.0
long_sequence__transformer_seed42_60s,0,0.0,0.0,0.0,8.0
long_sequence__transformer_seed42_60s,1,0.5697674418604651,0.7903225806451613,0.6621621621621622,62.0
long_sequence__transformer_seed42_60s,2,0.16666666666666666,0.2777777777777778,0.20833333333333334,18.0
long_sequence__transformer_seed42_60s,3,0.0,0.0,0.0,6.0
long_sequence__transformer_seed42_60s,4,0.8419618528610354,0.5808270676691729,0.6874304783092324,532.0
long_sequence__transformer_seed42_60s,5,0.20689655172413793,0.336,0.25609756097560976,125.0
long_sequence__transformer_seed42_60s,6,0.25757575757575757,0.3269230769230769,0.288135593220339,52.0
long_sequence__transformer_seed42_60s,7,0.5359477124183006,0.6833333333333333,0.6007326007326007,120.0
long_sequence__transformer_seed42_60s,8,0.13924050632911392,0.14864864864864866,0.1437908496732026,74.0
long_sequence__transformer_seed42_60s,9,0.0,0.0,0.0,2.0
long_sequence__transformer_seed42_60s,10,0.25,0.6666666666666666,0.36363636363636365,39.0
long_sequence__transformer_seed42_60s,11,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
long_sequence__transformer_seed42_60s,12,0.02564102564102564,0.05263157894736842,0.034482758620689655,19.0
long_sequence__transformer_seed42_60s,13,0.8134328358208955,0.7147540983606557,0.7609075043630017,610.0
long_sequence__transformer_seed42_60s,14,0.10526315789473684,0.047619047619047616,0.06557377049180328,42.0
long_sequence__transformer_seed42_60s,15,0.2962962962962963,0.6666666666666666,0.41025641025641024,12.0
long_sequence__transformer_seed42_60s,macro avg,0.3219373435872578,0.3908096785614416,0.33956223102839755,1772.0
long_sequence__transformer_seed42_60s,weighted avg,0.6560882213703043,0.585214446952596,0.6069033661586561,1772.0
long_sequence__transformer_seed43_60s,0,0.0,0.0,0.0,8.0
long_sequence__transformer_seed43_60s,1,0.4838709677419355,0.7258064516129032,0.5806451612903226,62.0
long_sequence__transformer_seed43_60s,2,0.11290322580645161,0.3888888888888889,0.175,18.0
long_sequence__transformer_seed43_60s,3,0.0,0.0,0.0,6.0
long_sequence__transformer_seed43_60s,4,0.8160237388724035,0.5169172932330827,0.6329113924050633,532.0
long_sequence__transformer_seed43_60s,5,0.2542372881355932,0.24,0.24691358024691357,125.0
long_sequence__transformer_seed43_60s,6,0.23958333333333334,0.4423076923076923,0.3108108108108108,52.0
long_sequence__transformer_seed43_60s,7,0.5028248587570622,0.7416666666666667,0.5993265993265994,120.0
long_sequence__transformer_seed43_60s,8,0.10752688172043011,0.13513513513513514,0.11976047904191617,74.0
long_sequence__transformer_seed43_60s,9,0.0,0.0,0.0,2.0
long_sequence__transformer_seed43_60s,10,0.22,0.5641025641025641,0.31654676258992803,39.0
long_sequence__transformer_seed43_60s,11,0.9607843137254902,0.9607843137254902,0.9607843137254902,51.0
long_sequence__transformer_seed43_60s,12,0.0,0.0,0.0,19.0
long_sequence__transformer_seed43_60s,13,0.7923497267759563,0.7131147540983607,0.7506471095772217,610.0
long_sequence__transformer_seed43_60s,14,0.029411764705882353,0.023809523809523808,0.02631578947368421,42.0
long_sequence__transformer_seed43_60s,15,0.35714285714285715,0.8333333333333334,0.5,12.0
long_sequence__transformer_seed43_60s,macro avg,0.30479118479483724,0.3928666635571026,0.3262288749054969,1772.0
long_sequence__transformer_seed43_60s,weighted avg,0.6349464986059656,0.5620767494356659,0.5812708868859036,1772.0
long_sequence__transformer_seed44_60s,0,0.0,0.0,0.0,8.0
long_sequence__transformer_seed44_60s,1,0.5581395348837209,0.7741935483870968,0.6486486486486487,62.0
long_sequence__transformer_seed44_60s,2,0.04878048780487805,0.1111111111111111,0.06779661016949153,18.0
long_sequence__transformer_seed44_60s,3,0.0,0.0,0.0,6.0
long_sequence__transformer_seed44_60s,4,0.826625386996904,0.5018796992481203,0.624561403508772,532.0
long_sequence__transformer_seed44_60s,5,0.28,0.28,0.28,125.0
long_sequence__transformer_seed44_60s,6,0.2857142857142857,0.3076923076923077,0.2962962962962963,52.0
long_sequence__transformer_seed44_60s,7,0.4968553459119497,0.6583333333333333,0.5663082437275986,120.0
long_sequence__transformer_seed44_60s,8,0.07526881720430108,0.0945945945945946,0.08383233532934131,74.0
long_sequence__transformer_seed44_60s,9,0.0,0.0,0.0,2.0
long_sequence__transformer_seed44_60s,10,0.22772277227722773,0.5897435897435898,0.32857142857142857,39.0
long_sequence__transformer_seed44_60s,11,0.819672131147541,0.9803921568627451,0.8928571428571429,51.0
long_sequence__transformer_seed44_60s,12,0.02040816326530612,0.05263157894736842,0.029411764705882353,19.0
long_sequence__transformer_seed44_60s,13,0.7652892561983471,0.759016393442623,0.7621399176954733,610.0
long_sequence__transformer_seed44_60s,14,0.0,0.0,0.0,42.0
long_sequence__transformer_seed44_60s,15,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0
long_sequence__transformer_seed44_60s,macro avg,0.30159555081146305,0.36101593625184725,0.31853455148550874,1772.0
long_sequence__transformer_seed44_60s,weighted avg,0.628244008145961,0.5637697516930023,0.5802928516059659,1772.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,0,0.0,0.0,0.0,8.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,1,0.32142857142857145,0.2903225806451613,0.3050847457627119,62.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,2,0.3888888888888889,0.3888888888888889,0.3888888888888889,18.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,3,0.0,0.0,0.0,6.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,4,0.8285714285714286,0.43609022556390975,0.5714285714285714,532.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,5,0.19736842105263158,0.12,0.14925373134328357,125.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,6,0.42857142857142855,0.28846153846153844,0.3448275862068966,52.0
ablation_fma_full60_crop15__cnn2d_seed42_15s,7,0.75,0.625,0.6818181818181818,120.0
