name,cnn2d,bilstm,transformer,mamba1,mamba2
cnn2d,1.0,0.3408463737275381,0.3272447759066458,0.39130188633222224,0.42061147116725717
bilstm,0.3408463737275381,1.0,0.9284136445116413,0.9352358236452385,0.8073269328833278
transformer,0.3272447759066458,0.9284136445116413,1.0,0.93212736730643,0.8293758683471296
mamba1,0.39130188633222224,0.9352358236452385,0.93212736730643,1.0,0.9057685453780426
mamba2,0.42061147116725717,0.8073269328833278,0.8293758683471296,0.9057685453780426,1.0
