name,cnn2d,bilstm,transformer,mamba1,mamba2
cnn2d,1.0,0.3132364588651529,0.3128755329476387,0.34068644404788123,0.2429998271594606
bilstm,0.3132364588651529,1.0,0.9210923473391104,0.9372201217913317,0.8440688685930403
transformer,0.3128755329476387,0.9210923473391104,1.0,0.9495628023001866,0.8796486026072977
mamba1,0.34068644404788123,0.9372201217913317,0.9495628023001866,1.0,0.9015693076587608
mamba2,0.2429998271594606,0.8440688685930403,0.8796486026072977,0.9015693076587608,1.0
