label_id,genre,sample_count,offdiag_mean_linear_cka,min_pair_linear_cka,max_pair_linear_cka
0,Blues,8,0.7276867850949061,0.6562898203071513,0.8614590237960364
1,Classical,62,0.5147542383116689,0.37671876401566423,0.7391129420449735
2,Country,18,0.6138163136367728,0.47688488878526347,0.8414668409161953
3,Easy Listening,6,0.8256636966466664,0.6888960108030251,0.9056546658379636
4,Electronic,532,0.5449065807273763,0.40447296902750274,0.7797018541095856
5,Experimental,125,0.5636872294757669,0.4142829659416273,0.7864168625869191
6,Folk,52,0.5755126491845468,0.45842284393369037,0.7893269495645625
7,Hip-Hop,120,0.614992556108146,0.5212478884287862,0.7248064718867745
8,Instrumental,74,0.6308319423815028,0.501787897574318,0.844786591935134
9,International,2,1.0,1.0,1.0000000000000002
10,Jazz,39,0.58903843867479,0.36758745718558883,0.8555615665093179
11,Old-Time / Historic,51,0.6087482447659477,0.46217159791119133,0.8259578569309451
12,Pop,19,0.7009944737726361,0.6264070187344633,0.8611572915828865
13,Rock,610,0.4906649976053898,0.33697808834776394,0.7422327040314488
14,Soul-RnB,42,0.677691374812684,0.5140850642031933,0.8460499541914561
15,Spoken,12,0.6575851280045772,0.4681234163425846,0.8871350221149088
